Name,Cost,Type,Color,Rarity,High,Mid,Low
Eidolon of Countless Battles,1WW,Creature,White,R,$9.99,$2.71,$1.79
Elemental Token,,Token,,T,$0.66,$0.25,$0.05
Elite Skirmisher,2W,Creature,White,C,$0.62,$0.14,$0.03
"Emblem - Kiora, the Crashing Wave",,Token,,T,$2.54,$1.41,$0.28
Ephara's Enlightenment,1WU,Enchantment,Multicolor,U,$1.07,$0.22,$0.04
Ephara's Radiance,W,Enchantment,White,C,$0.60,$0.12,$0.02
"Ephara, God of the Polis",2WU,Creature,Multicolor,M,$12.49,$8.60,$6.96
Epiphany Storm,R,Enchantment,Read,C,$0.51,$0.13,$0.03
Eternity Snare,5U,Enchantment,Blue,U,$0.59,$0.19,$0.04
Evanescent Intellect,U,Enchantment,Blue,C,$0.65,$0.13,$0.03
Everflame Eidolon,1R,Creature,Red,U,$0.87,$0.18,$0.04
Excoriate,3W,Sorcery,White,C,$0.60,$0.12,$0.02
Eye Gouge,B,Instant,Black,C,$0.51,$0.14,$0.03
Fall of the Hammer,1R,Instant,Red,C,$0.51,$0.11,$0.02
Fanatic of Xenagos,1RG,Creature,Multicolor,U,$1.37,$0.69,$0.24
Fate Unraveler,3B,Creature,Black,R,$1.98,$0.49,$0.20
Fated Conflagration,1RRR,Instant,Red,R,$1.98,$0.50,$0.20
Fated Infatuation,UUU,Instant,Blue,R,$3.20,$0.68,$0.30
Fated Intervention,2GGG,Instant,Green,R,$1.65,$0.33,$0.14
Fated Retribution,4WWW,Instant,White,R,$3.00,$0.98,$0.49
Fated Return,4BBB,Instant,Black,R,$1.80,$0.36,$0.15
Fearsome Temper,2R,Enchantment,Red,C,$0.51,$0.14,$0.03
Felhide Brawler,1B,Creature,Black,C,$0.51,$0.13,$0.03
Felhide Spiritbinder,3R,Creature,Red,R,$2.99,$0.66,$0.24
Flame-Wreathed Phoenix,2RR,Creature,Read,M,$11.00,$4.75,$2.50
Flitterstep Eidolon,1U,Creature,Blue,U,$0.95,$0.19,$0.04
Floodtide Serpent,4U,Creature,Blue,C,$0.60,$0.15,$0.03
Forgestoker Dragon,4RR,Creature,Red,R,$1.45,$0.29,$0.06
Forlorn Pseudamma,3B,Creature,Black,U,$0.80,$0.16,$0.03
Forsaken Drifters,3B,Creature,Black,C,$0.69,$0.14,$0.03
Ghostblade Eidolon,2W,Creature,White,U,$0.87,$0.18,$0.04
Gild,3B,Sorcery,Black,R,$1.99,$0.67,$0.25
Glimpse the Sun God,XW,Instant,White,U,$0.85,$0.17,$0.03
God-Favored General,1W,Creature,White,U,$0.80,$0.16,$0.04
Gold Token,,Token,,T,$2.00,$0.75,$0.15
Gorgon's Head,1,Artifact,Colorless,U,$0.85,$0.17,$0.04
Graverobber Spider,3G,Creature,Green,U,$0.80,$0.16,$0.04
Great Hart,3W,Creature,White,C,$0.51,$0.14,$0.03
Griffin Dreamfinder,3WW,Creature,White,C,$0.51,$0.14,$0.03
Grisly Transformation,2B,Enchantment,Black,C,$0.67,$0.14,$0.04
Herald of Torment,1BB,Creature,Black,R,$4.00,$2.00,$0.89
Hero of Iroas,1W,Creature,White,R,$9.99,$2.65,$1.63
Hero of Leina Tower,G,Creature,Green,R,$3.20,$0.64,$0.20
Heroes' Podium,5,Artifact,Colorless,R,$1.60,$0.32,$0.14
Hold at Bay,1W,Instant,White,C,$0.65,$0.13,$0.03
Hunter's Prowess,4G,Sorcery,Green,R,$1.75,$0.35,$0.15
Impetuous Sunchaser,1R,Creature,Red,C,$0.51,$0.13,$0.03
Karametra's Favor,G,Enchantment,Green,C,$0.64,$0.14,$0.03
"Karametra, God of Harvests",3GW,Creature,Multicolor,M,$11.00,$4.49,$2.88
Kiora's Follower,GU,Creature,Multicolor,U,$1.49,$0.54,$0.19
"Kiora, the Crashing Wave",2GU,Planeswalker,Multicolor,M,$40.00,$20.75,$18.05
Kragma Butcher,2R,Creature,Red,C,$0.65,$0.13,$0.04
Kraken of the Straits,5UU,Creature,Blue,U,$0.80,$0.16,$0.04
Kraken Token,,Token,,T,$2.00,$0.76,$0.25
Lightning Volley,3R,Instant,Red,U,$0.85,$0.17,$0.04
Loyal Pegasus,W,Creature,White,C,$0.50,$0.10,$0.02
Marshmist Titan,6B,Creature,Black,C,$0.57,$0.14,$0.03
Meletis Astronomer,1U,Creature,Blue,U,$0.87,$0.20,$0.05
Mindreaver,UU,Creature,Blue,R,$1.45,$0.29,$0.10
Mischief and Mayhem,4G,Sorcery,Green,U,$0.80,$0.16,$0.04
"Mogis, God of Slaughter",2BR,Creature,Multicolor,M,$21.70,$10.99,$8.00
Mortal's Ardor,W,Instant,White,C,$0.55,$0.11,$0.03
Mortal's Resolve,1G,Instant,Green,C,$0.60,$0.12,$0.03
Necrobite,2B,Instant,Black,C,$0.65,$0.13,$0.04
Nessian Demolok,3GG,Creature,Green,U,$0.80,$0.16,$0.04
Nessian Wilds Ravager,4GG,Creature,Green,R,$1.95,$0.39,$0.11
Noble Quarry,2G,Creature,Green,U,$0.75,$0.15,$0.04
Nullify,UU,Instant,Blue,C,$0.57,$0.14,$0.03
Nyxborn Eidolon,1B,Creature,Black,C,$0.57,$0.15,$0.03
Nyxborn Rollicker,R,Creature,Red,C,$0.63,$0.13,$0.04
Nyxborn Shieldmate,W,Creature,White,C,$0.63,$0.13,$0.03
Nyxborn Triton,2U,Creature,Blue,C,$0.51,$0.15,$0.03
Nyxborn Wolf,2G,Creature,Greent,C,$0.63,$0.15,$0.04
Odunos River Trawler,2B,Creature,Black,U,$0.80,$0.16,$0.04
Oracle of Bones,2RR,Creature,Red,R,$2.04,$0.66,$0.32
Oracle's Insight,3U,Enchantment,Blue,U,$0.75,$0.15,$0.04
Oreskos Sun Guide,1W,Creature,White,C,$0.51,$0.13,$0.03
Ornitharch,W,Creature,White,U,$0.75,$0.15,$0.04
Pain Seer,1B,Creature,Black,R,$12.00,$2.91,$0.99
Peregrination,3G,Sorcery,Green,U,$1.00,$0.20,$0.04
Perplexing Chimera,4U,Creature,Blue,R,$1.60,$0.32,$0.13
Pharagax Giant,4R,Creature,Red,C,$0.51,$0.13,$0.03
"Phenax, God of Deception",3UB,Creature,Multicolor,M,$12.99,$8.40,$6.29
Pheres-Band Raiders,5G,Creature,Green,U,$0.80,$0.16,$0.04
Pheres-Band Tromper,3G,Creature,Green,C,$0.65,$0.13,$0.04
Pillar of War,3,Creature,Colorless,U,$0.80,$0.16,$0.04
Pinnacle of Rage,4RR,Sorcery,Red,U,$0.87,$0.18,$0.04
Plea for Guidance,5W,Sorcery,White,R,$1.50,$0.30,$0.13
Ragemonger,1BR,Creature,Multicolor,U,$1.50,$0.47,$0.17
Raised by Wolves,3GG,Enchantment,Green,U,$0.57,$0.17,$0.03
Reap What Is Sown,1GW,Instant,Multicolor,U,$0.85,$0.17,$0.04
Reckless Reveler,1R,Creature,Red,C,$0.65,$0.14,$0.04
Retraction Helix,U,Instant,Blue,C,$0.51,$0.12,$0.02
Revoke Existence,1W,Sorcery,White,C,$0.63,$0.15,$0.04
Rise to the Challenge,1R,Instant,Red,C,$0.65,$0.13,$0.04
Sanguimancy,4B,Sorcery,Black,U,$0.87,$0.18,$0.04
Satyr Firedancer,1R,Creature,Red,R,$9.99,$2.40,$1.15
Satyr Nyx-Smith,2R,Creature,Read,U,$0.65,$0.15,$0.04
Satyr Wayfinder,1G,Creature,Green,C,$0.65,$0.13,$0.03
Scourge of Skola Vale,2G,Creature,Green,R,$2.00,$0.40,$0.14
Scouring Sands,1R,Sorcery,Red,C,$0.65,$0.13,$0.04
Searing Blood,RR,Instant,Red,U,$2.49,$0.90,$0.18
Servant of Tymaret,2B,Creature,Black,C,$0.51,$0.12,$0.02
Setessan Oathsworn,1GG,Creature,Green,C,$0.60,$0.12,$0.03
Setessan Starbreaker,3G,Creature,Green,C,$0.62,$0.15,$0.04
Shrike Harpy,3BB,Creature,Black,U,$0.85,$0.17,$0.04
Silent Sentinel,5WW,Creature,White,R,$1.30,$0.26,$0.09
Siren of the Fanged Coast,3UU,Creature,Blue,U,$0.80,$0.16,$0.04
Siren of the Silent Song,1UB,Creature,Multicolor,U,$0.85,$0.17,$0.03
Siren Song Lyre,2,Artifact,Colorless,U,$0.75,$0.15,$0.03
Skyreaping,1G,Sorcery,Green,U,$0.75,$0.15,$0.04
Snake of the Golden Grove,4G,Creature,Green,C,$0.68,$0.14,$0.04
Soldier Token,,Token,,T,$0.66,$0.24,$0.05
Sphinx's Disciple,3UU,Creature,Blue,C,$0.51,$0.14,$0.03
Spirit of the Labyrinth,1W,Creature,White,R,$8.99,$4.22,$1.98
Spiteful Returned,1B,Creature,Black,U,$0.87,$0.25,$0.05
Springleaf Drum,1,Artifact,Artifact,U,$1.37,$0.52,$0.19
Stormcaller of Keranos,2R,Creature,Red,U,$0.80,$0.16,$0.04
Stratus Walk,1U,Enchantment,Blue,C,$0.51,$0.12,$0.02
Sudden Storm,3U,Instant,Blue,C,$0.51,$0.14,$0.03
Sunbond,3W,Enchantment,White,U,$0.87,$0.23,$0.05
Swordwise Centaur,GG,Creature,Green,C,$0.65,$0.13,$0.04
Temple of Enlightenment,,Land,Land,R,$12.50,$8.00,$6.00
Temple of Malice,,Land,Land,R,$8.99,$4.78,$3.31
Temple of Plenty,,Land,Land,R,$8.99,$4.99,$3.50
Thassa's Rebuff,1U,Instant,Blue,U,$1.52,$0.31,$0.10
Thunder Brute,4RR,Creature,Red,U,$0.80,$0.16,$0.04
Thunderous Might,1R,Enchantment,Red,U,$0.75,$0.15,$0.04
Tromokratis,5UU,Creature,Blue,R,$1.40,$0.28,$0.06
Unravel the AEther,1G,Instant,Green,U,$0.87,$0.25,$0.09
Vanguard of Brimaz,WW,Creature,White,U,$0.87,$0.20,$0.05
Vortex Elemental,U,Creature,Blue,U,$0.87,$0.18,$0.05
Warchanter of Mogis,3BB,Creature,Black,C,$0.65,$0.14,$0.03
Weight of the Underworld,3B,Enchantment,Black,C,$0.65,$0.15,$0.03
Whelming Wave,2UU,Sorcery,Blue,R,$1.98,$0.51,$0.25
Whims of the Fates,5R,Sorcery,Red,R,$1.25,$0.25,$0.09
Wolf Token,,Token,,T,$0.66,$0.25,$0.05
"Xenagos, God of Revels",3RG,Creature,Multicolor,M,$24.99,$15.72,$11.99
Zombie Token,,Token,,T,$0.79,$0.25,0.05
