Name,Cost,Type,Color,Rarity,High,Mid,Low
Drakewing Krasis,1GU,Creature,Gold,C,$0.50,$0.13,$0.03
Duskmantle Guildmage,UB,Creature,Gold,U,$0.96,$0.29,$0.09
Duskmantle Seer,2UB,Creature,Gold,M,$5.99,$1.69,$0.99
Dutiful Thrull,W,Creature,White,C,$0.50,$0.12,$0.03
Dying Wish,1B,Enchantment,Black,U,$0.75,$0.15,$0.03
Elusive Krasis,1UG,Creature,Gold,U,$1.00,$0.21,$0.04
Ember Beast,2R,Creature,Red,C,$0.50,$0.13,$0.03
Emblem - Domri Rade,,Token,,T,$2.00,$0.74,$0.20
Enter the Infinite,8UUUU,Sorcery,Blue,M,$4.11,$0.91,$0.50
Executioner's Swing,WB,Instant,Gold,C,$0.50,$0.12,$0.03
Experiment One,G,Creature,Green,U,$3.99,$2.00,$1.25
Fathom Mage,2GU,Creature,Gold,R,$1.95,$0.39,$0.12
Firefist Striker,1R,Creature,Red,U,$1.86,$0.52,$0.13
Firemane Avenger,2RW,Creature,Gold,R,$3.00,$0.65,$0.30
Five-Alarm Fire,1RR,Enchantment,Red,R,$1.25,$0.25,$0.09
Forced Adaptation,G,Enchantment,Green,C,$0.53,$0.13,$0.03
Fortress Cyclops,3RW,Creature,Gold,U,$0.75,$0.15,$0.03
Foundry Champion,4RW,Creature,Gold,R,$1.25,$0.25,$0.05
Foundry Street Denizen,R,Creature,Red,C,$0.60,$0.13,$0.03
Frenzied Tilling,3RG,Sorcery,Gold,U,$0.75,$0.15,$0.03
Frilled Oculus,1U,Creature,Blue,C,$0.50,$0.13,$0.03
Frog Lizard Token,,Token,,T,$0.68,$0.24,$0.08
Frontline Medic,2W,Creature,White,R,$4.00,$1.00,$0.49
Furious Resistance,R,Instant,Red,C,$0.50,$0.13,$0.03
Gateway Shade,2B,Creature,Black,U,$0.75,$0.15,$0.03
Ghor-Clan Rampager,2RG,Creature,Gold,U,$2.25,$0.45,$0.12
Giant Adephage,5GG,Creature,Green,M,$3.08,$1.15,$0.50
"Gideon, Champion of Justice",2WW,Creature,White,M,$10.00,$4.73,$3.59
Gift of Orzhova,1(W/B)(W/B),Enchantment,Gold,U,$1.37,$0.36,$0.12
Glaring Spotlight,1,Artifact,Colorless,R,$2.05,$0.44,$0.10
Godless Shrine,,Land,Colorless,R,$14.99,$9.28,$7.39
Greenside Watcher,1G,Creature,Green,C,$0.50,$0.12,$0.02
Gridlock,XU,Instant,Blue,U,$0.75,$0.15,$0.03
Grisly Spectacle,2BB,Instant,Black,C,$0.59,$0.13,$0.03
Ground Assault,RG,Sorcery,Gold,U,$0.75,$0.15,$0.04
Gruul Charm,RG,Instant,Gold,U,$0.90,$0.18,$0.05
Gruul Guildgate,,Land,Colorless,C,$0.50,$0.16,$0.04
Gruul Keyrune,3,Artifact,Colorless,U,$0.80,$0.16,$0.04
Gruul Ragebeast,5RG,Creature,Gold,R,$1.25,$0.25,$0.09
Guardian of the Gateless,4W,Creature,White,U,$0.87,$0.23,$0.05
Guildscorn Ward,W,Enchantment,White,C,$0.50,$0.13,$0.03
Gutter Skulk,1B,Creature,Black,C,$0.50,$0.13,$0.03
Gyre Sage,1G,Creature,Green,R,$5.00,$1.49,$0.45
Hands of Binding,1U,Sorcery,Blue,C,$0.56,$0.13,$0.03
Hellkite Tyrant,4RR,Creature,Red,M,$2.00,$0.99,$0.72
Hellraiser Goblin,2R,Creature,Red,U,$0.50,$0.17,$0.03
High Priest of Penance,WB,Creature,Gold,R,$3.59,$0.92,$0.40
Hindervines,2G,Instant,Green,U,$0.80,$0.16,$0.03
Hold the Gates,2W,Enchantment,White,U,$0.80,$0.16,$0.03
Holy Mantle,2WW,Enchantment,White,U,$0.87,$0.20,$0.04
Homing Lightning,2RR,Instant,Red,U,$0.80,$0.16,$0.03
Horror of the Dim,4B,Creature,Black,C,$0.50,$0.13,$0.03
Horror Token,,Token,,T,$0.65,$0.16,$0.03
Hydroform,GU,Instant,Gold,C,$0.50,$0.13,$0.03
Illness in the Ranks,B,Enchantment,Black,U,$1.02,$0.24,$0.05
Illusionist's Bracers,2,Artifact,Colorless,R,$2.05,$0.41,$0.10
Immortal Servitude,X(W/B)(W/B)(W/B),Sorcery,Gold,R,$1.98,$0.79,$0.47
Incursion Specialist,1U,Creature,Blue,U,$0.80,$0.16,$0.03
Ivy Lane Denizen,3G,Creature,Green,C,$0.50,$0.12,$0.03
Keymaster Rogue,3U,Creature,Blue,C,$0.50,$0.13,$0.03
Killing Glare,XB,Instant,Black,U,$0.75,$0.15,$0.03
Kingpin's Pet,1WB,Creature,Gold,C,$0.60,$0.12,$0.03
Knight of Obligation,3W,Creature,White,U,$0.50,$0.14,$0.03
Knight Watch,4W,Sorcery,White,C,$0.50,$0.13,$0.03
Last Thoughts,3U,Sorcery,Blue,C,$0.50,$0.13,$0.03
"Lazav, Dimir Mastermind",UUBB,Creature,Gold,M,$7.85,$2.47,$1.29
Legion Loyalist,R,Creature,Red,R,$4.99,$3.49,$2.50
Leyline Phantom,4U,Creature,Blue,C,$0.50,$0.13,$0.03
Lord of the Void,4BBB,Creature,Black,M,$3.49,$2.56,$0.85
Luminate Primordial,5WW,Creature,White,R,$1.35,$0.27,$0.05
Madcap Skills,1R,Enchantment,Red,C,$0.59,$0.20,$0.04
Mark for Death,3R,Sorcery,Red,U,$0.80,$0.16,$0.03
Martial Glory,RW,Instant,Gold,C,$0.60,$0.12,$0.02
Massive Raid,1RR,Instant,Red,C,$0.50,$0.13,$0.03
Master Biomancer,2GU,Creature,Gold,M,$9.99,$5.45,$3.01
Mental Vapors,3B,Sorcery,Black,U,$0.75,$0.15,$0.03
Merciless Eviction,4WB,Sorcery,Gold,R,$3.08,$0.95,$0.49
Merfolk of the Depths,4(G/U)(G/U),Creature,Gold,U,$0.75,$0.15,$0.03
Metropolis Sprite,1U,Creature,Blue,C,$0.50,$0.12,$0.02
Midnight Recovery,3B,Sorcery,Black,C,$0.57,$0.12,$0.02
Millennial Gargoyle,4,Creature,Colorless,C,$0.50,$0.13,$0.03
Miming Slime,2G,Sorcery,Green,U,$0.75,$0.15,$0.03
Mind Grind,XUB,Sorcery,Gold,R,$3.05,$2.02,$1.19
Mindeye Drake,4U,Creature,Blue,U,$0.75,$0.15,$0.03
Molten Primordial,5RR,Creature,Red,R,$1.30,$0.26,$0.08
Mortus Strider,1UB,Creature,Gold,C,$0.50,$0.12,$0.02
Mugging,R,Sorcery,Red,C,$0.50,$0.10,$0.02
Murder Investigation,1W,Enchantment,White,U,$0.80,$0.16,$0.04
Mystic Genesis,2GUU,Instant,Gold,R,$1.25,$0.25,$0.09
Naturalize,1G,Instant,Green,C,$0.54,$0.12,$0.02
Nav Squad Commandos,4W,Creature,White,C,$0.50,$0.13,$0.03
Nightveil Specter,(U/B)(U/B)(U/B),Creature,Gold,R,$15.00,$9.98,$7.50
Nimbus Swimmer,XGU,Creature,Gold,U,$0.70,$0.14,$0.03
"Obzedat, Ghost Council",1WWBB,Creature,Gold,M,$20.00,$8.12,$6.29
Ogre Slumlord,3BB,Creature,Black,R,$1.75,$0.35,$0.10
One Thousand Lashes,2WB,Enchantment,Gold,U,$0.95,$0.19,$0.05
Ooze Flux,3G,Enchantment,Green,R,$1.25,$0.25,$0.09
Ordruun Veteran,2RW,Creature,Gold,U,$0.50,$0.15,$0.03
Orzhov Charm,WB,Instant,Gold,U,$1.01,$0.42,$0.15
Orzhov Guildgate,,Land,Colorless,C,$0.65,$0.20,$0.05
Orzhov Keyrune,3,Artifact,Colorless,U,$0.90,$0.18,$0.04
Paranoid Delusions,UB,Sorcery,Gold,C,$0.64,$0.14,$0.03
Pit Fight,1(R/G),Instant,Gold,C,$0.59,$0.12,$0.03
Predator's Rapport,2G,Instant,Green,C,$0.55,$0.13,$0.03
Primal Visitation,3GR,Enchantment,Gold,C,$0.50,$0.13,$0.03
Prime Speaker Zegana,2GGUU,Creature,Gold,M,$12.99,$4.16,$1.98
Prophetic Prism,2,Artifact,Colorless,C,$0.59,$0.13,$0.03
Psychic Strike,1UB,Instant,Gold,C,$0.85,$0.18,$0.04
Purge the Profane,2WB,Sorcery,Gold,C,$0.50,$0.13,$0.03
Rapid Hybridization,U,Instant,Blue,U,$1.49,$0.74,$0.25
Rat Token,,Token,,T,$0.85,$0.44,$0.10
Razortip Whip,2,Artifact,Colorless,C,$0.50,$0.13,$0.03
Realmwright,U,Creature,Blue,R,$1.50,$0.30,$0.12
Righteous Charge,1WW,Sorcery,White,U,$0.75,$0.15,$0.03
Riot Gear,2,Artifact,Colorless,C,$0.50,$0.13,$0.03
Ripscale Predator,4RR,Creature,Red,U,$0.50,$0.15,$0.03
Rubblebelt Raiders,1(R/G)(R/G)(R/G),Creature,Gold,R,$3.10,$0.62,$0.23
Rubblehulk,4RG,Creature,Gold,R,$1.30,$0.26,$0.09
Ruination Wurm,4RG,Creature,Gold,C,$0.50,$0.13,$0.03
Rust Scarab,4G,Creature,Green,U,$0.75,$0.15,$0.03
Sacred Foundry,,Land,Colorless,R,$18.74,$12.00,$9.00
Sage's Row Denizen,2U,Creature,Blue,C,$0.50,$0.12,$0.03
Sapphire Drake,5U,Creature,Blue,U,$0.75,$0.15,$0.03
Scab-Clan Charger,3G,Creature,Green,C,$0.50,$0.13,$0.03
Scatter Arc,3U,Instant,Blue,C,$0.50,$0.13,$0.03
Scorchwalker,3R,Creature,Red,C,$0.50,$0.12,$0.02
Sepulchral Primordial,5BB,Creature,Black,R,$1.55,$0.31,$0.12
Serene Remembrance,G,Sorcery,Green,U,$0.75,$0.15,$0.03
Shadow Alley Denizen,B,Creature,Black,C,$0.63,$0.13,$0.03
Shadow Slice,4B,Sorcery,Black,C,$0.59,$0.13,$0.03
Shambleshark,GU,Creature,Gold,C,$0.59,$0.14,$0.03
Shattering Blow,1(R/W),Instant,Gold,C,$0.59,$0.13,$0.03
Shielded Passage,W,Instant,White,C,$0.50,$0.12,$0.02
Signal the Clans,RG,Instant,Gold,R,$1.35,$0.27,$0.09
Simic Charm,GU,Instant,Gold,U,$1.49,$0.69,$0.25
Simic Fluxmage,2U,Creature,Blue,U,$0.80,$0.16,$0.03
Simic Guildgate,,Land,Colorless,C,$0.61,$0.17,$0.05
Simic Keyrune,3,Artifact,Colorless,U,$0.80,$0.16,$0.03
Simic Manipulator,1UU,Creature,Blue,R,$1.45,$0.29,$0.06
Skarrg Goliath,6GG,Creature,Green,R,$1.25,$0.25,$0.09
Skarrg Guildmage,RG,Creature,Gold,U,$0.95,$0.19,$0.04
Skinbrand Goblin,1R,Creature,Red,C,$0.50,$0.13,$0.03
Skullcrack,1R,Instant,Red,U,$2.05,$0.60,$0.18
Skyblinder Staff,1,Artifact,Colorless,C,$0.50,$0.13,$0.03
Skygames,1U,Enchantment,Blue,C,$0.50,$0.14,$0.03
Skyknight Legionnaire,1RW,Creature,Gold,C,$0.58,$0.13,$0.03
Slate Street Ruffian,2B,Creature,Black,C,$0.50,$0.12,$0.02
Slaughterhorn,2G,Creature,Green,C,$0.50,$0.12,$0.02
Smite,W,Instant,White,C,$0.50,$0.12,$0.03
Smog Elemental,4BB,Creature,Black,U,$0.80,$0.16,$0.03
Soldier Token (Red/White),,Token,,T,$1.10,$0.22,$0.06
Soul Ransom,2UB,Enchantment,Gold,R,$1.00,$0.29,$0.09
Spark Trooper,1RRW,Creature,Gold,R,$2.10,$0.42,$0.19
Spell Rupture,1U,Instant,Blue,C,$0.57,$0.12,$0.03
Spire Tracer,G,Creature,Green,C,$0.50,$0.11,$0.02
Spirit Token (Black/White),,Token,,T,$0.66,$0.17,$0.04
Stolen Identity,4UU,Sorcery,Blue,R,$1.80,$0.36,$0.12
Stomping Ground,,Land,Colorless,R,$14.99,$8.99,$6.00
Structural Collapse,5R,Sorcery,Red,C,$0.50,$0.13,$0.03
Sunhome Guildmage,RW,Creature,Gold,U,$0.90,$0.18,$0.04
Sylvan Primordial,5GG,Creature,Green,R,$3.08,$1.08,$0.40
Syndic of Tithes,1W,Creature,White,C,$0.50,$0.12,$0.03
Syndicate Enforcer,3B,Creature,Black,C,$0.50,$0.13,$0.03
Thespian's Stage,,Land,Colorless,R,$6.99,$1.42,$0.50
Thrull Parasite,B,Creature,Black,U,$0.87,$0.27,$0.09
Tin Street Market,4R,Enchantment,Red,C,$0.50,$0.13,$0.03
Totally Lost,4U,Instant,Blue,C,$0.50,$0.12,$0.02
Tower Defense,1G,Instant,Green,U,$0.75,$0.15,$0.03
Towering Thunderfist,4R,Creature,Red,C,$0.50,$0.13,$0.03
Treasury Thrull,4WB,Creature,Gold,R,$1.25,$0.25,$0.05
Truefire Paladin,RW,Creature,Gold,U,$1.00,$0.22,$0.05
Undercity Informer,2B,Creature,Black,U,$1.01,$0.24,$0.05
Undercity Plague,4BB,Sorcery,Black,R,$1.25,$0.25,$0.05
Unexpected Results,2GU,Sorcery,Gold,R,$1.45,$0.29,$0.09
Urban Evolution,3GU,Sorcery,Gold,U,$1.00,$0.25,$0.09
Urbis Protector,4WW,Creature,White,U,$0.80,$0.16,$0.03
Verdant Haven,2G,Enchantment,Green,C,$0.54,$0.14,$0.03
Viashino Shanktail,3R,Creature,Red,U,$0.75,$0.15,$0.03
Vizkopa Confessor,3WB,Creature,Gold,U,$0.80,$0.16,$0.03
Vizkopa Guildmage,WB,Creature,Gold,U,$1.01,$0.28,$0.09
Voidwalk,3U,Sorcery,Blue,U,$0.75,$0.15,$0.03
Warmind Infantry,2R,Creature,Red,C,$0.50,$0.13,$0.03
Wasteland Viper,G,Creature,Green,U,$1.24,$0.33,$0.10
Watery Grave,,Land,Colorless,R,$18.74,$10.79,$9.00
Way of the Thief,3U,Enchantment,Blue,C,$0.50,$0.13,$0.03
Whispering Madness,2UB,Sorcery,Gold,R,$1.40,$0.28,$0.09
Wight of Precinct Six,1B,Creature,Black,U,$1.02,$0.46,$0.10
Wildwood Rebirth,1G,Instant,Green,C,$0.53,$0.12,$0.02
Wojek Halberdiers,RW,Creature,Gold,C,$0.65,$0.13,$0.03
Wrecking Ogre,4R,Creature,Red,R,$1.20,$0.24,$0.09
Zameck Guildmage,GU,Creature,Gold,U,$1.00,$0.25,$0.05
Zarichi Tiger,3W,Creature,White,C,$0.50,$0.13,$0.03
Zhur-Taa Swine,3RG,Creature,Gold,C,$0.50,$0.12,$0.02
