Name,Cost,Type,Color,Rarity,High,Mid,Low
"Melek, Izzet Paragon",4UR,Creature,Gold,R,$1.70,$0.34,$0.15
Mending Touch,G,Instant,Green,C,$0.50,$0.12,$0.02
Mindstatic,3U,Instant,Blue,C,$0.65,$0.13,$0.03
"Mirko Vosk, Mind Drinker",3UB,Creature,Gold,R,$1.98,$1.00,$0.49
Morgue Burst,4BR,Sorcery,Gold,C,$0.50,$0.13,$0.03
Murmuring Phantasm,1U,Creature,Blue,C,$0.50,$0.12,$0.02
Mutant's Prey,G,Instant,Green,C,$0.50,$0.12,$0.04
Nivix Cyclops,1UR,Creature,Gold,C,$0.60,$0.14,$0.03
Notion Thief,2UB,Creature,Gold,R,$2.55,$0.51,$0.25
Obzedat's Aid,3WB,Sorcery,Gold,R,$2.20,$0.44,$0.19
Opal Lake Gatekeepers,3U,Creature,Blue,C,$0.50,$0.13,$0.03
Orzhov Cluestone,3,Artifact,Colorless,C,$0.50,$0.14,$0.03
Orzhov Guildgate,,Land,Colorless,C,$0.70,$0.20,$0.06
Phytoburst,1G,Sorcery,Green,C,$0.53,$0.13,$0.04
Pilfered Plans,1UB,Sorcery,Gold,C,$0.63,$0.14,$0.03
Plasm Capture,GGUU,Instant,Gold,R,$2.05,$0.72,$0.30
Pontiff of Blight,4BB,Creature,Black,R,$1.70,$0.34,$0.15
Possibility Storm,3RR,Enchantment,Red,R,$1.40,$0.28,$0.09
Profit // Loss,1W/2B,Instant,Gold,U,$0.87,$0.18,$0.05
Progenitor Mimic,4UG,Creature,Gold,M,$14.99,$3.58,$2.50
Protect // Serve,2W/1U,Instant,Gold,U,$0.75,$0.15,$0.03
Punish the Enemy,4R,Instant,Red,C,$0.51,$0.12,$0.02
Putrefy,1BG,Instant,Gold,U,$1.52,$0.45,$0.19
Pyrewild Shaman,2R,Creature,Red,R,$1.35,$0.27,$0.10
Rakdos Cluestone,3,Artifact,Colorless,C,$0.50,$0.13,$0.03
Rakdos Drake,2B,Creature,Black,C,$0.50,$0.13,$0.03
Rakdos Guildgate,,Land,Colorless,C,$0.61,$0.20,$0.06
Ral Zarek,2UR,Creature,Gold,M,$21.00,$9.74,$7.34
Ready // Willing,1GW/1WB,Instant,Gold,R,$1.98,$0.42,$0.12
Reap Intellect,X2UB,Sorcery,Gold,M,$3.08,$0.85,$0.35
Render Silent,WUU,Instant,Gold,R,$3.59,$0.90,$0.19
Renegade Krasis,1GG,Creature,Green,R,$1.98,$0.71,$0.20
Renounce the Guilds,1W,Instant,White,R,$1.98,$0.56,$0.23
Restore the Peace,1WU,Instant,Gold,U,$0.75,$0.15,$0.04
Riot Control,2W,Instant,White,C,$0.54,$0.15,$0.04
Riot Piker,1R,Creature,Red,C,$0.50,$0.13,$0.03
Rot Farm Skeleton,2BG,Creature,Gold,U,$0.75,$0.15,$0.04
Rubblebelt Maaka,3R,Creature,Red,C,$0.50,$0.12,$0.02
Runner's Bane,1U,Enchantment,Blue,C,$0.50,$0.13,$0.03
"Ruric Thar, the Unbowed",4RG,Creature,Gold,R,$3.25,$0.65,$0.19
Saruli Gatekeepers,3G,Creature,Green,C,$0.50,$0.12,$0.02
Savageborn Hydra,XRG,Creature,Gold,M,$7.49,$4.09,$2.79
Scab-Clan Giant,4RG,Creature,Gold,U,$0.85,$0.17,$0.04
Scion of Vitu-Ghazi,3WW,Creature,White,R,$2.00,$0.41,$0.15
Selesnya Cluestone,3,Artifact,Colorless,C,$0.50,$0.14,$0.03
Selesnya Guildgate,,Land,Colorless,C,$0.61,$0.20,$0.04
Showstopper,1BR,Instant,Gold,U,$0.75,$0.15,$0.04
Simic Cluestone,3,Artifact,Colorless,C,$0.50,$0.14,$0.03
Simic Guildgate,,Land,Colorless,C,$0.61,$0.19,$0.05
Sin Collector,1WB,Creature,Gold,U,$1.01,$0.39,$0.10
Sinister Possession,B,Enchantment,Black,C,$0.50,$0.12,$0.02
Sire of Insanity,4BR,Creature,Gold,R,$2.50,$0.50,$0.24
Skylasher,1G,Creature,Green,R,$5.00,$1.85,$0.75
Smelt-Ward Gatekeepers,3R,Creature,Red,C,$0.65,$0.13,$0.03
Species Gorger,3GU,Creature,Gold,U,$0.70,$0.14,$0.04
Spike Jester,BR,Creature,Gold,U,$1.01,$0.30,$0.12
Steeple Roc,4W,Creature,White,C,$0.50,$0.13,$0.03
Sunspire Gatekeepers,3W,Creature,White,C,$0.50,$0.13,$0.03
"Tajic, Blade of the Legion",2RW,Creature,Gold,R,$2.50,$0.75,$0.30
"Teysa, Envoy of Ghosts",5WB,Creature,Gold,R,$1.95,$0.39,$0.15
Thrashing Mossdog,3G,Creature,Green,C,$0.50,$0.12,$0.02
Tithe Drinker,WB,Creature,Gold,C,$0.64,$0.16,$0.03
Toil // Trouble,2B/2R,Sorcery,Gold,U,$1.01,$0.24,$0.05
Trait Doctoring,U,Sorcery,Blue,R,$1.25,$0.25,$0.09
Trostani's Summoner,5GW,Creature,Gold,U,$0.87,$0.21,$0.04
Turn // Burn,2U/1R,Instant,Gold,U,$1.15,$0.47,$0.22
Ubul Sar Gatekeepers,3B,Creature,Black,C,$0.50,$0.13,$0.03
Uncovered Clues,2U,Sorcery,Blue,C,$0.50,$0.13,$0.03
Unflinching Courage,1WG,Enchantment,Gold,U,$1.49,$0.74,$0.24
"Varolz, the Scar-Striped",1BG,Creature,Gold,R,$5.00,$1.43,$0.75
Viashino Firstblade,1RW,Creature,Gold,C,$0.50,$0.12,$0.03
Voice of Resurgence,GW,Creature,Gold,M,$55.00,$29.99,$24.50
Vorel of the Hull Clade,1GU,Creature,Gold,R,$2.05,$0.53,$0.15
Wake the Reflections,W,Sorcery,White,C,$0.50,$0.13,$0.03
Warleader's Helix,2RW,Instant,Gold,U,$2.15,$0.43,$0.15
Warped Physique,UB,Instant,Gold,U,$0.85,$0.17,$0.04
Weapon Surge,R,Instant,Red,C,$0.50,$0.11,$0.02
Wear // Tear,1R/W,Instant,Gold,U,$1.01,$0.34,$0.07
Wind Drake,2U,Creature,Blue,C,$0.50,$0.13,$0.03
Woodlot Crawler,UB,Creature,Gold,U,$0.75,$0.15,$0.03
Zhur-Taa Ancient,3RG,Creature,Gold,R,$1.45,$0.29,$0.10
Zhur-Taa Druid,RG,Creature,Gold,C,$0.75,$0.16,$0.03
