Name;Cost;Type;Color; Rar; High;Mid; Low
Garruk's Horde;5GG; Creature;Green; R;$1.45; $0.29; $0.10 
Garruk, Caller of Beasts;4GG; Creature;Green; M;$28.83;$22.05;$17.59 
Giant Growth;G; Instant; Green; C;$0.56; $0.14; $0.03 
Giant Spider;3G;Creature;Green; C;$0.50; $0.15; $0.03 
Gladecover Scout;G; Creature;Green; C;$0.70; $0.15; $0.03 
Glimpse the Future;2U;Sorcery; Blue;U;$0.87; $0.21; $0.04 
Gnawing Zombie;1B;Creature;Black; U;$1.00; $0.20; $0.04 
Goat Token;;Token;; T;$0.83; $0.22; $0.10 
Goblin Diplomats;1R;Creature;Red; R;$1.65; $0.33; $0.10 
Goblin Shortcutter;1R;Creature;Red; C;$0.50; $0.14; $0.03 
Griffin Sentinel;2W;Creature;White; C;$0.50; $0.15; $0.03 
Grim Return; 2B;Instant; Black; R;$2.56; $0.59; $0.25 
Groundshaker Sliver; 6G;Creature;Green; C;$0.57; $0.14; $0.04 
Guardian of the Ages;7; Creature;Colorless; R;$1.45; $0.29; $0.10 
Haunted Plate Mail;4; Artifact;Colorless; R;$2.25; $0.45; $0.15 
Hive Stirrings;2W;Sorcery; White; C;$0.61; $0.16; $0.03 
Howl of the Night Pack;6G;Sorcery; Green; U;$1.00; $0.21; $0.04 
Hunt the Weak; 3G;Sorcery; Green; C;$0.50; $0.13; $0.03 
Illusionary Armor; 4U;Enchantment; Blue;U;$0.87; $0.20; $0.04 
Imposing Sovereign;1W;Creature;White; R;$3.50; $1.18; $0.50 
Indestructibility; 3W;Enchantment; White; R;$1.98; $0.45; $0.10 
Into the Wilds;3G;Enchantment; Green; R;$1.98; $0.48; $0.15 
Island (234);;Land;Colorless; L;$0.58; $0.14; $0.04 
Island (235);;Land;Colorless; L;$0.54; $0.16; $0.04 
Island (236);;Land;Colorless; L;$0.54; $0.15; $0.04 
Island (237);;Land;Colorless; L;$0.50; $0.10; $0.04 
Jace's Mindseeker; 4UU; Creature;Blue;R;$1.70; $0.34; $0.10 
Jace, Memory Adept;3UU; Creature;Blue;M;$19.99;$8.99; $7.59 
Kalonian Hydra;3GG; Creature;Green; M;$30.00;$14.99;$11.50 
Kalonian Tusker; GG;Creature;Green; U;$0.69; $0.28; $0.10 
Lava Axe;4R;Sorcery; Red; C;$0.60; $0.14; $0.03 
Lay of the Land; G; Sorcery; Green; C;$0.62; $0.15; $0.03 
Lifebane Zombie; 1BB; Creature;Black; R;$11.99;$6.50; $4.00 
Lightning Talons;2R;Enchantment; Red; C;$0.53; $0.13; $0.03 
Liliana of the Dark Realms;2BB; Creature;Black; M;$11.99;$5.28; $3.99 
Liliana's Reaver;2BB; Creature;Black; R;$2.05; $0.91; $0.18 
Liturgy of Blood;3BB; Sorcery; Black; C;$0.50; $0.14; $0.03 
Manaweft Sliver; 1G;Creature;Green; U;$1.91; $0.83; $0.39 
Marauding Maulhorn;2RR; Creature;Red; C;$0.50; $0.14; $0.03 
Mark of the Vampire; 3B;Enchantment; Black; C;$0.53; $0.14; $0.03 
Master of Diversion; 2W;Creature;White; C;$0.50; $0.14; $0.03 
Megantic Sliver; 5G;Creature;Green; R;$2.05; $0.73; $0.20 
Merfolk Spy; U; Creature;Blue;C;$0.50; $0.14; $0.03 
Messenger Drake; 3UU; Creature;Blue;C;$0.50; $0.14; $0.03 
Millstone; 2; Artifact;Colorless; U;$1.00; $0.20; $0.05 
Mind Rot;2B;Sorcery; Black; C;$0.50; $0.13; $0.03 
Mindsparker; 1RR; Creature;Red; R;$3.35; $0.67; $0.25 
Minotaur Abomination;4BB; Creature;Black; C;$0.50; $0.14; $0.03 
Molten Birth;1RR; Sorcery; Red; U;$1.00; $0.21; $0.04 
Mountain (242);;Land;Colorless; L;$0.66; $0.15; $0.04 
Mountain (243);;Land;Colorless; L;$0.48; $0.16; $0.04 
Mountain (244);;Land;Colorless; L;$0.48; $0.14; $0.05 
Mountain (245);;Land;Colorless; L;$0.51; $0.14; $0.09 
Mutavault;; Land;Colorless; R;$41.95;$36.30;$30.50 
Naturalize;1G;Instant; Green; C;$0.50; $0.14; $0.03 
Negate;1U;Instant; Blue;C;$0.52; $0.15; $0.03 
Nephalia Seakite;3U;Creature;Blue;C;$0.50; $0.15; $0.03 
Nightmare; 5B;Creature;Black; R;$1.55; $0.31; $0.14 
Nightwing Shade; 4B;Creature;Black; C;$0.50; $0.15; $0.03 
Oath of the Ancient Wood;2G;Enchantment; Green; R;$1.60; $0.32; $0.12 
Ogre Battledriver; 2RR; Creature;Red; R;$2.90; $0.58; $0.23 
Opportunity; 4UU; Instant; Blue;U;$1.00; $0.22; $0.04 
Pacifism;1W;Enchantment; White; C;$0.50; $0.14; $0.03 
Path of Bravery; 2W;Enchantment; White; R;$2.05; $0.84; $0.52 
Pay No Heed; W; Instant; White; C;$0.50; $0.13; $0.03 
Phantom Warrior; 1UU; Creature;Blue;U;$0.90; $0.18; $0.04 
Pillarfield Ox;3W;Creature;White; C;$0.75; $0.15; $0.03 
Pitchburn Devils;4R;Creature;Red; C;$0.50; $0.14; $0.03 
Plains (230);;Land;Colorless; L;$0.56; $0.14; $0.04 
Plains (231);;Land;Colorless; L;$0.54; $0.15; $0.04 
Plains (232);;Land;Colorless; L;$0.54; $0.14; $0.04 
Plains (233);;Land;Colorless; L;$0.54; $0.17; $0.04 
Planar Cleansing;3WWW;Sorcery; White; R;$1.65; $0.33; $0.12 
Plummet; 1G;Instant; Green; C;$0.54; $0.14; $0.03 
Predatory Sliver;1G;Creature;Green; C;$0.99; $0.29; $0.09 
Primeval Bounty; 5G;Enchantment; Green; M;$8.86; $4.93; $3.55 
Pyromancer's Gauntlet; 5; Artifact;Colorless; R;$1.50; $0.30; $0.07 
Quag Sickness; 2B;Enchantment; Black; C;$0.50; $0.14; $0.03 
Quicken; U; Instant; Blue;R;$2.44; $0.90; $0.25 
Ranger's Guile;G; Instant; Green; C;$0.57; $0.14; $0.03 
Ratchet Bomb;2; Artifact;Colorless; R;$2.66; $1.50; $0.40 
Regathan Firecat;2R;Creature;Red; C;$0.50; $0.14; $0.03 
Ring of Three Wishes;5; Artifact;Colorless; M;$3.08; $1.34; $0.50 
Rise of the Dark Realms; 7BB; Sorcery; Black; M;$6.00; $2.72; $1.79 
Rod of Ruin; 4; Artifact;Colorless; U;$1.00; $0.20; $0.04 
Rootwalla; 2G;Creature;Green; C;$0.50; $0.15; $0.03 
Rumbling Baloth; 2GG; Creature;Green; C;$0.50; $0.14; $0.03 
Sanguine Bond; 3BB; Enchantment; Black; R;$5.14; $1.35; $0.27 
Saproling Token;; Token;; T;$0.87; $0.19; $0.05 
Savage Summoning;G; Instant; Green; R;$2.60; $0.52; $0.24 
Scavenging Ooze; 1G;Creature;Green; R;$20.00;$8.23; $5.50 
Scourge of Valkas; 2RRR;Creature;Red; M;$4.11; $1.82; $0.45 
Scroll Thief;2U;Creature;Blue;C;$0.50; $0.15; $0.03 
Seacoast Drake;1U;Creature;Blue;C;$0.50; $0.14; $0.03 
Seismic Stomp; 1R;Sorcery; Red; C;$0.55; $0.13; $0.03 
Sengir Vampire;3BB; Creature;Black; U;$0.95; $0.19; $0.04 
Sensory Deprivation; U; Enchantment; Blue;C;$0.50; $0.14; $0.03 
Sentinel Sliver; 1W;Creature;White; C;$0.58; $0.19; $0.04 
Seraph of the Sword; 3W;Creature;White; R;$2.05; $0.55; $0.32 
Serra Angel; 3WW; Creature;White; U;$1.00; $0.20; $0.04 
Shadowborn Apostle;B; Creature;Black; C;$1.99; $0.85; $0.35 
Shadowborn Demon;3BB; Creature;Black; M;$10.00;$3.49; $2.10 
Shimmering Grotto;; Land;Colorless; U;$0.95; $0.19; $0.04 
Shiv's Embrace;2RR; Enchantment; Red; U;$1.00; $0.20; $0.04 
Shivan Dragon; 4RR; Creature;Red; R;$1.50; $0.30; $0.09 
Shock; R; Instant; Red; C;$0.50; $0.15; $0.03 
Show of Valor; 1W;Instant; White; C;$0.50; $0.14; $0.03 
Shrivel; 1B;Sorcery; Black; C;$0.50; $0.13; $0.03 
Siege Mastodon;4W;Creature;White; C;$0.50; $0.15; $0.03 
Silence; W; Instant; White; R;$3.08; $1.39; $0.28 
Sliver Construct;3; Creature;Colorless; C;$0.57; $0.12; $0.03 
Sliver Token;;Token;; T;$0.72; $0.24; $0.05 
Sliver Token (League);; Token;; P;$4.00; $4.00; $3.99 
Smelt; R; Instant; Red; C;$0.50; $0.14; $0.03 
Solemn Offering; 2W;Sorcery; White; C;$0.50; $0.14; $0.03 
Soulmender;W; Creature;White; C;$0.59; $0.14; $0.03 
Spell Blast; U; Instant; Blue;U;$0.87; $0.21; $0.04 
Sporemound;3GG; Creature;Green; C;$0.55; $0.13; $0.03 
Staff of the Death Magus;3; Artifact;Colorless; U;$1.00; $0.21; $0.04 
Staff of the Flame Magus;3; Artifact;Colorless; U;$1.00; $0.20; $0.04 
Staff of the Mind Magus; 3; Artifact;Colorless; U;$1.00; $0.20; $0.04 
Staff of the Sun Magus;3; Artifact;Colorless; U;$1.00; $0.20; $0.04 
Staff of the Wild Magus; 3; Artifact;Colorless; U;$1.00; $0.21; $0.04 
Steelform Sliver;2W;Creature;White; U;$1.00; $0.24; $0.08 
Stonehorn Chanter; 5W;Creature;White; U;$0.87; $0.20; $0.04 
Striking Sliver; R; Creature;Red; C;$0.62; $0.18; $0.05 
Strionic Resonator;2; Artifact;Colorless; R;$3.80; $0.76; $0.40 
Suntail Hawk;W; Creature;White; C;$0.50; $0.13; $0.03 
Swamp (238);; Land;Colorless; L;$0.57; $0.14; $0.04 
Swamp (239);; Land;Colorless; L;$0.56; $0.15; $0.04 
Swamp (241);; Land;Colorless; L;$0.56; $0.13; $0.04 
Swamp(240);;Land;Colorless; L;$0.66; $0.17; $0.04 
Syphon Sliver; 2B;Creature;Black; R;$2.81; $0.90; $0.18 
Tenacious Dead;B; Creature;Black; U;$0.95; $0.19; $0.04 
Thorncaster Sliver;4R;Creature;Red; R;$2.98; $0.87; $0.45 
Thunder Strike;1R;Instant; Red; C;$0.50; $0.14; $0.03 
Tidebinder Mage; UU;Creature;Blue;R;$5.65; $2.75; $1.59 
Time Ebb;2U;Sorcery; Blue;U;$0.50; $0.13; $0.03 
Tome Scour;U; Sorcery; Blue;C;$0.61; $0.15; $0.03 
Trading Post;4; Artifact;Colorless; R;$1.98; $0.41; $0.10 
Trained Condor;2U;Creature;Blue;C;$0.50; $0.14; $0.03 
Traumatize;3UU; Sorcery; Blue;R;$2.83; $1.38; $0.44 
Trollhide; 2G;Enchantment; Green; C;$0.55; $0.15; $0.03 
Undead Minotaur; 2B;Creature;Black; C;$0.50; $0.14; $0.03 
Vampire Warlord; 4B;Creature;Black; U;$1.00; $0.20; $0.04 
Vastwood Hydra;XGG; Creature;Green; R;$2.05; $0.62; $0.20 
Verdant Haven; 2G;Enchantment; Green; C;$0.61; $0.14; $0.03 
Vial of Poison;1; Artifact;Colorless; U;$1.00; $0.20; $0.04 
Vile Rebirth;B; Instant; Black; C;$0.50; $0.14; $0.03 
Volcanic Geyser; XRR; Instant; Red; U;$0.57; $0.19; $0.04 
Voracious Wurm;1G;Creature;Green; U;$1.00; $0.21; $0.05 
Wall of Frost; 1UU; Creature;Blue;U;$1.00; $0.22; $0.05 
Wall of Swords;3W;Creature;White; U;$1.00; $0.20; $0.04 
Warden of Evos Isle; 2U;Creature;Blue;U;$0.87; $0.21; $0.04 
Water Servant; 2UU; Creature;Blue;U;$1.00; $0.20; $0.04 
Wild Guess;RR;Sorcery; Red; C;$0.50; $0.14; $0.03 
Wild Ricochet; 2RR; Instant; Red; R;$1.60; $0.32; $0.12 
Windreader Sphinx; 5UU; Creature;Blue;M;$4.20; $0.84; $0.17 
Windstorm; XG;Instant; Green; U;$0.95; $0.19; $0.04 
Witchstalker;1GG; Creature;Green; R;$6.00; $2.95; $1.50 
Wolf Token;;Token;; T;$0.84; $0.21; $0.06 
Woodborn Behemoth; 3GG; Creature;Green; U;$1.00; $0.20; $0.04 
Wring Flesh; B; Instant; Black; C;$0.50; $0.14; $0.03 
Xathrid Necromancer; 2B;Creature;Black; R;$14.99;$4.18; $2.45 
Young Pyromancer;1R;Creature;Red; U;$3.99; $2.49; $1.50 
Zephyr Charge; 1U;Instant; Blue;C;$0.50; $0.14; $0.03 
Zombie Token;;Token;; T;$0.85; $0.24; $0.09 
