Name;Cost;Type;Color; Rar; High;Mid; Low
Culling Mark;2G;Sorcery; Green; C;$0.68; $0.15; $0.04 
Cyclops of One-Eyed Pass;2RR; Creature;Red; C;$0.65; $0.15; $0.03 
Dawn to Dusk;2WW; Sorcery; White; U;$0.87; $0.20; $0.04 
Deepwater Hypnotist; 1U;Creature;Blue;C;$0.51; $0.15; $0.03 
Divination;2U;Sorcery; Blue;C;$0.51; $0.14; $0.03 
Drown in Sorrow; 1BB; Sorcery; Black; U;$2.49; $0.97; $0.60 
Eater of Hope; 5BB; Creature;Black; R;$1.45; $0.29; $0.10 
Eidolon of Countless Battles;1WW; Creature;White; R;$9.99; $2.75; $1.80 
Elemental Token;; Token;; T;$0.78; $0.27; $0.05 
Elite Skirmisher;2W;Creature;White; C;$0.62; $0.14; $0.03 
Emblem - Kiora, the Crashing Wave;; Token;; T;$2.55; $1.48; $0.30 
Ephara's Enlightenment;1WU; Enchantment; Multicolor;U;$1.07; $0.23; $0.05 
Ephara's Radiance; W; Enchantment; White; C;$0.60; $0.12; $0.02 
Ephara, God of the Polis;2WU; Creature;Multicolor;M;$12.49;$8.76; $7.00 
Epiphany Storm;R; Enchantment; Read;C;$0.51; $0.13; $0.03 
Eternity Snare;5U;Enchantment; Blue;U;$0.59; $0.20; $0.04 
Evanescent Intellect;U; Enchantment; Blue;C;$0.67; $0.14; $0.03 
Everflame Eidolon; 1R;Creature;Red; U;$0.87; $0.18; $0.04 
Excoriate; 3W;Sorcery; White; C;$0.60; $0.12; $0.02 
Eye Gouge; B; Instant; Black; C;$0.51; $0.14; $0.03 
Fall of the Hammer;1R;Instant; Red; C;$0.51; $0.11; $0.02 
Fanatic of Xenagos;1RG; Creature;Multicolor;U;$1.37; $0.70; $0.25 
Fate Unraveler;3B;Creature;Black; R;$1.98; $0.54; $0.25 
Fated Conflagration; 1RRR;Instant; Red; R;$1.98; $0.59; $0.20 
Fated Infatuation; UUU; Instant; Blue;R;$3.20; $0.75; $0.30 
Fated Intervention;2GGG;Instant; Green; R;$1.95; $0.39; $0.15 
Fated Retribution; 4WWW;Instant; White; R;$3.00; $1.06; $0.50 
Fated Return;4BBB;Instant; Black; R;$1.98; $0.41; $0.15 
Fearsome Temper; 2R;Enchantment; Red; C;$0.51; $0.14; $0.03 
Felhide Brawler; 1B;Creature;Black; C;$0.51; $0.13; $0.03 
Felhide Spiritbinder;3R;Creature;Red; R;$2.99; $0.74; $0.39 
Flame-Wreathed Phoenix;2RR; Creature;Read;M;$11.00;$5.10; $3.40 
Flitterstep Eidolon; 1U;Creature;Blue;U;$0.99; $0.20; $0.04 
Floodtide Serpent; 4U;Creature;Blue;C;$0.60; $0.15; $0.03 
Forgestoker Dragon;4RR; Creature;Red; R;$1.70; $0.34; $0.07 
Forlorn Pseudamma; 3B;Creature;Black; U;$0.85; $0.17; $0.03 
Forsaken Drifters; 3B;Creature;Black; C;$0.69; $0.15; $0.03 
Ghostblade Eidolon;2W;Creature;White; U;$0.87; $0.20; $0.04 
Gild;3B;Sorcery; Black; R;$1.99; $0.74; $0.25 
Glimpse the Sun God; XW;Instant; White; U;$0.87; $0.19; $0.04 
God-Favored General; 1W;Creature;White; U;$0.85; $0.17; $0.04 
Gold Token;;Token;; T;$2.00; $0.75; $0.15 
Gorgon's Head; 1; Artifact;Colorless; U;$0.87; $0.19; $0.04 
Graverobber Spider;3G;Creature;Green; U;$0.85; $0.17; $0.04 
Great Hart;3W;Creature;White; C;$0.51; $0.15; $0.03 
Griffin Dreamfinder; 3WW; Creature;White; C;$0.51; $0.14; $0.03 
Grisly Transformation; 2B;Enchantment; Black; C;$0.67; $0.15; $0.04 
Herald of Torment; 1BB; Creature;Black; R;$4.00; $2.15; $0.76 
Hero of Iroas; 1W;Creature;White; R;$9.99; $2.76; $1.41 
Hero of Leina Tower; G; Creature;Green; R;$3.50; $0.70; $0.20 
Heroes' Podium;5; Artifact;Colorless; R;$1.80; $0.36; $0.14 
Hold at Bay; 1W;Instant; White; C;$0.65; $0.13; $0.03 
Hunter's Prowess;4G;Sorcery; Green; R;$1.98; $0.40; $0.15 
Impetuous Sunchaser; 1R;Creature;Red; C;$0.51; $0.13; $0.03 
Karametra's Favor; G; Enchantment; Green; C;$0.64; $0.14; $0.03 
Karametra, God of Harvests;3GW; Creature;Multicolor;M;$11.00;$4.74; $3.29 
Kiora's Follower;GU;Creature;Multicolor;U;$1.49; $0.60; $0.20 
Kiora, the Crashing Wave;2GU; Planeswalker;Multicolor;M;$30.00;$21.27;$17.00 
Kragma Butcher;2R;Creature;Red; C;$0.65; $0.13; $0.04 
Kraken of the Straits; 5UU; Creature;Blue;U;$0.87; $0.18; $0.04 
Kraken Token;;Token;; T;$2.00; $0.75; $0.25 
Lightning Volley;3R;Instant; Red; U;$0.87; $0.18; $0.04 
Loyal Pegasus; W; Creature;White; C;$0.55; $0.11; $0.02 
Marshmist Titan; 6B;Creature;Black; C;$0.57; $0.14; $0.03 
Meletis Astronomer;1U;Creature;Blue;U;$0.87; $0.22; $0.05 
Mindreaver;UU;Creature;Blue;R;$1.65; $0.33; $0.10 
Mischief and Mayhem; 4G;Sorcery; Green; U;$0.85; $0.17; $0.04 
Mogis, God of Slaughter; 2BR; Creature;Multicolor;M;$21.70;$11.47;$7.46 
Mortal's Ardor;W; Instant; White; C;$0.55; $0.11; $0.03 
Mortal's Resolve;1G;Instant; Green; C;$0.60; $0.12; $0.03 
Necrobite; 2B;Instant; Black; C;$0.67; $0.14; $0.04 
Nessian Demolok; 3GG; Creature;Green; U;$0.85; $0.17; $0.04 
Nessian Wilds Ravager; 4GG; Creature;Green; R;$1.98; $0.43; $0.15 
Noble Quarry;2G;Creature;Green; U;$0.80; $0.16; $0.04 
Nullify; UU;Instant; Blue;C;$0.57; $0.14; $0.03 
Nyxborn Eidolon; 1B;Creature;Black; C;$0.57; $0.15; $0.03 
Nyxborn Rollicker; R; Creature;Red; C;$0.63; $0.14; $0.04 
Nyxborn Shieldmate;W; Creature;White; C;$0.63; $0.13; $0.03 
Nyxborn Triton;2U;Creature;Blue;C;$0.51; $0.15; $0.03 
Nyxborn Wolf;2G;Creature;Greent;C;$0.63; $0.15; $0.04 
Odunos River Trawler;2B;Creature;Black; U;$0.85; $0.17; $0.04 
Oracle of Bones; 2RR; Creature;Red; R;$2.04; $0.75; $0.39 
Oracle's Insight;3U;Enchantment; Blue;U;$0.75; $0.15; $0.04 
Oreskos Sun Guide; 1W;Creature;White; C;$0.51; $0.13; $0.03 
Ornitharch;W; Creature;White; U;$0.87; $0.18; $0.04 
Pain Seer; 1B;Creature;Black; R;$12.00;$3.35; $1.40 
Peregrination; 3G;Sorcery; Green; U;$1.20; $0.24; $0.05 
Perplexing Chimera;4U;Creature;Blue;R;$1.80; $0.36; $0.14 
Pharagax Giant;4R;Creature;Red; C;$0.51; $0.13; $0.03 
Phenax, God of Deception;3UB; Creature;Multicolor;M;$12.99;$8.26; $6.79 
Pheres-Band Raiders; 5G;Creature;Green; U;$0.80; $0.16; $0.04 
Pheres-Band Tromper; 3G;Creature;Green; C;$0.69; $0.14; $0.04 
Pillar of War; 3; Creature;Colorless; U;$0.85; $0.17; $0.04 
Pinnacle of Rage;4RR; Sorcery; Red; U;$0.87; $0.18; $0.04 
Plea for Guidance; 5W;Sorcery; White; R;$1.65; $0.33; $0.14 
Ragemonger;1BR; Creature;Multicolor;U;$1.50; $0.48; $0.18 
Raised by Wolves;3GG; Enchantment; Green; U;$0.57; $0.17; $0.03 
Reap What Is Sown; 1GW; Instant; Multicolor;U;$0.87; $0.18; $0.04 
Reckless Reveler;1R;Creature;Red; C;$0.65; $0.14; $0.04 
Retraction Helix;U; Instant; Blue;C;$0.51; $0.12; $0.02 
Revoke Existence;1W;Sorcery; White; C;$0.63; $0.15; $0.04 
Rise to the Challenge; 1R;Instant; Red; C;$0.65; $0.13; $0.04 
Sanguimancy; 4B;Sorcery; Black; U;$0.87; $0.19; $0.04 
Satyr Firedancer;1R;Creature;Red; R;$9.99; $2.50; $1.29 
Satyr Nyx-Smith; 2R;Creature;Read;U;$0.65; $0.17; $0.04 
Satyr Wayfinder; 1G;Creature;Green; C;$0.65; $0.13; $0.03 
Scourge of Skola Vale; 2G;Creature;Green; R;$2.20; $0.44; $0.19 
Scouring Sands;1R;Sorcery; Red; C;$0.65; $0.13; $0.04 
Searing Blood; RR;Instant; Red; U;$2.49; $0.93; $0.19 
Servant of Tymaret;2B;Creature;Black; C;$0.51; $0.13; $0.03 
Setessan Oathsworn;1GG; Creature;Green; C;$0.60; $0.12; $0.03 
Setessan Starbreaker;3G;Creature;Green; C;$0.62; $0.15; $0.04 
Shrike Harpy;3BB; Creature;Black; U;$0.85; $0.17; $0.04 
Silent Sentinel; 5WW; Creature;White; R;$1.45; $0.29; $0.10 
Siren of the Fanged Coast; 3UU; Creature;Blue;U;$0.87; $0.18; $0.04 
Siren of the Silent Song;1UB; Creature;Multicolor;U;$0.87; $0.18; $0.04 
Siren Song Lyre; 2; Artifact;Colorless; U;$0.85; $0.17; $0.03 
Skyreaping;1G;Sorcery; Green; U;$0.75; $0.15; $0.04 
Snake of the Golden Grove; 4G;Creature;Green; C;$0.68; $0.14; $0.04 
Soldier Token;; Token;; T;$0.66; $0.25; $0.05 
Sphinx's Disciple; 3UU; Creature;Blue;C;$0.51; $0.14; $0.03 
Spirit of the Labyrinth; 1W;Creature;White; R;$8.99; $4.70; $2.42 
Spiteful Returned; 1B;Creature;Black; U;$0.87; $0.26; $0.05 
Springleaf Drum; 1; Artifact;Artifact;U;$1.37; $0.54; $0.20 
Stormcaller of Keranos;2R;Creature;Red; U;$0.87; $0.18; $0.04 
Stratus Walk;1U;Enchantment; Blue;C;$0.51; $0.13; $0.03 
Sudden Storm;3U;Instant; Blue;C;$0.51; $0.14; $0.03 
Sunbond; 3W;Enchantment; White; U;$0.87; $0.24; $0.05 
Swordwise Centaur; GG;Creature;Green; C;$0.67; $0.14; $0.04 
Temple of Enlightenment;; Land;Land;R;$12.50;$7.95; $5.50 
Temple of Malice;;Land;Land;R;$8.99; $4.95; $3.49 
Temple of Plenty;;Land;Land;R;$8.99; $4.99; $3.51 
Thassa's Rebuff; 1U;Instant; Blue;U;$1.52; $0.33; $0.10 
Thunder Brute; 4RR; Creature;Red; U;$0.80; $0.16; $0.04 
Thunderous Might;1R;Enchantment; Red; U;$0.80; $0.16; $0.04 
Tromokratis; 5UU; Creature;Blue;R;$1.55; $0.31; $0.06 
Unravel the AEther;1G;Instant; Green; U;$0.87; $0.27; $0.09 
Vanguard of Brimaz;WW;Creature;White; U;$0.87; $0.23; $0.05 
Vortex Elemental;U; Creature;Blue;U;$0.87; $0.20; $0.05 
Warchanter of Mogis; 3BB; Creature;Black; C;$0.65; $0.14; $0.03 
Weight of the Underworld;3B;Enchantment; Black; C;$0.65; $0.15; $0.03 
Whelming Wave; 2UU; Sorcery; Blue;R;$1.98; $0.59; $0.30 
Whims of the Fates;5R;Sorcery; Red; R;$1.40; $0.28; $0.10 
Wolf Token;;Token;; T;$0.66; $0.28; $0.06 
Xenagos, God of Revels;3RG; Creature;Multicolor;M;$24.99;$16.21;$13.00 
Zombie Token;;Token;; T;$0.79; $0.25; $0.05 
